antibody_id,score,vdw,elec,desolv,bsa,total
sbio-nipahgpg-138,-83.3105,-47.5197,-132.832,-9.22442,2423.91,-180.3517
sbio-nipahgpg-139,-71.1283,-31.7098,-161.598,-7.09886,2692.4,-193.30780000000001
sbio-nipahgpg-140,-39.194,-29.0263,-9.77132,-8.21348,1739.76,-38.797619999999995
sbio-nipahgpg-141,-57.2934,-34.5714,-115.901,0.458173,1639.9,-150.4724
sbio-nipahgpg-142,-91.0098,-28.2981,-163.335,-30.0447,2567.42,-191.6331
sbio-nipahgpg-143,-78.7131,-47.8914,-121.454,-6.5309,2260.01,-169.34539999999998
sbio-nipahgpg-144,-61.1176,-32.683,-76.101,-13.2144,1979.96,-108.78399999999999
sbio-nipahgpg-145,-78.7946,-60.523,-38.4711,-10.5774,2350.82,-98.9941
sbio-nipahgpg-146,-87.6206,-65.2606,-28.9305,-16.5739,1978.06,-94.19109999999999
sbio-nipahgpg-147,-57.2785,-23.8581,-146.507,-4.11897,1664.62,-170.3651
sbio-nipahgpg-148,-78.5038,-40.0497,-116.884,-15.0773,1778.03,-156.9337
sbio-nipahgpg-149,-97.8864,-58.1383,-72.1814,-25.3118,1933.62,-130.3197
sbio-nipahgpg-150,-59.0227,-27.1358,-2.42795,-31.4013,2003.34,-29.56375
sbio-nipahgpg-151,-59.6329,-30.0082,-128.1,-4.00469,2096.04,-158.10819999999998
sbio-nipahgpg-152,-139.3074,-82.7721,-145.037,-27.5279,3359.86,-227.8091
sbio-nipahgpg-153,-68.4427,-34.7757,-80.244,-17.6182,2178.28,-115.0197
sbio-nipahgpg-154,-155.9581,-79.4933,-155.382,-45.3884,3068.5,-234.8753
sbio-nipahgpg-155,-26.0238,-1.66714,-17.1367,-20.9293,1860.33,-18.80384
sbio-nipahgpg-156,-70.9666,-10.0443,-185.206,-23.8811,2418.43,-195.25029999999998
sbio-nipahgpg-157,-98.246,-41.7579,-23.2302,-51.8421,2633.19,-64.9881
sbio-nipahgpg-158,-142.9182,-52.643,-307.986,-28.678,3162.04,-360.629
sbio-nipahgpg-159,-134.0713,-59.5693,-66.7462,-61.1528,3342.05,-126.3155
sbio-nipahgpg-160,-24.8245,-5.33562,-1.01713,-19.2855,2106.38,-6.3527499999999995
